class id,course prefix,course number,section,term,call number,class title,class subtitle,status,instructors,schedule,enrollment,max enroll,core area,sess,ues,ues+,ues%,col,dept,act,sess,insts,asst count,textbooks,syllabus
acct6201.0w1.17s,acct,6201 ,0w1 ,17s,24330 ,Introduction to Financial Accounting ,,Open,Ashiq Ali,-schedule is not posted or not applicable-,40,5, ,1,do_eval,,,mgt,mgmt,lec,1,axa042200,1,"9780133559736,9780133251036 ",syl
acct6201.501.17s,acct,6201 ,501 ,17s,24344 ,Introduction to Financial Accounting ,,Open,Sandy Frost,Mon : 7:00pm-9:00pm : SOM_2.714,46,2, ,1,do_eval,,,mgt,mgmt,lec,1,sms151730,1,"9780133559736,9780133251036 ",syl
acct6202.0w1.17s,acct,6202 ,0w1 ,17s,24331 ,Introduction to Managerial Accounting ,,Closed,Surya Janakiraman,-schedule is not posted or not applicable-,45,0, ,1,do_eval,,,mgt,mgmt,lec,1,suryaj,1,"9781118572719,9781118385388 ",syl
acct6202.501.17s,acct,6202 ,501 ,17s,24345 ,Introduction to Managerial Accounting ,,Open,Ramachandran Natarajan,Tues : 5:00pm-6:50pm : SOM_2.115,33,37, ,1,do_eval,,,mgt,mgmt,lec,1,nataraj,1,"9781118572719,9781118385388 ",syl
acct6305.001.17s,acct,6305 ,001 ,17s,25181 ,Accounting for Managers ,,Open,Daniel Cohen,Mon : 1:00pm-3:45pm : SOM_1.117,38,52, ,1,do_eval,,,mgt,mgmt,lec,1,dac101000,1,9781618531025 , 
acct6305.0w1.17s,acct,6305 ,0w1 ,17s,24332 ,Accounting for Managers ,,Open,Surya Janakiraman,-schedule is not posted or not applicable-,23,27, ,1,do_eval,,,mgt,mgmt,lec,1,suryaj,1,"9780077862374,9780077631604 ",syl
acct6305.501.17s,acct,6305 ,501 ,17s,24346 ,Accounting for Managers ,,Open,Gil Sadka,Tues : 7:00pm-9:45pm : SOM_2.106,66,9, ,1,do_eval,,,mgt,mgmt,lec,1,gxs143630,2,9781618531025 ,syl
acct6305.502.17s,acct,6305 ,502 ,17s,24955 ,Accounting for Managers ,,Open,Gil Sadka,Wed : 7:00pm-9:45pm : SOM_1.217,73,2, ,1,do_eval,,,mgt,mgmt,lec,1,gxs143630,2,9781618531025 ,syl
acct6305.002.17s,acct,6305 ,002 ,17s,26912 ,Accounting for Managers ,,Open,Daniel Cohen,Tues : 1:00pm-3:45pm : SOM_2.106,58,32, ,1,do_eval,,,mgt,mgmt,lec,1,dac101000,1,9781618531025 , 
acct6305.003.17s,acct,6305 ,003 ,17s,26913 ,Accounting for Managers ,,Open,Gil Sadka,Wed : 1:00pm-3:45pm : SOM_1.117,88,2, ,1,do_eval,,,mgt,mgmt,lec,1,gxs143630,2,9781618531025 ,syl
acct6309.002.17s,acct,6309 ,002 ,17s,24932 ,Business Data Warehousing ,,Open,Kashif Saeed,Tues & Thurs : 2:30pm-3:45pm : SOM_2.722,1,69, ,1,-,,,mgt,mgmt,lec,1,kxs147230,1, ,syl
acct6309.0w1.17s,acct,6309 ,0w1 ,17s,24776 ,Business Data Warehousing ,,Open,Judd Bradbury,-schedule is not posted or not applicable-,1,59, ,1,-,,,mgt,mgmt,lec,1,jdb101000,3, , 
acct6309.501.17s,acct,6309 ,501 ,17s,24777 ,Business Data Warehousing ,,Open,Kevin Crook,Fri : 7:00pm-9:45pm : SOM_1.107,6,64, ,1,do_eval,,,mgt,mgmt,lec,1,krc150730,1,9781784391164 ,syl
acct6309.502.17s,acct,6309 ,502 ,17s,25127 ,Business Data Warehousing ,,Open,Kevin Crook,Mon & Wed : 5:30pm-6:45pm : SOM_2.106,6,64, ,1,do_eval,,,mgt,mgmt,lec,1,krc150730,1,9781784391164 ,syl
acct6309.001.17s,acct,6309 ,001 ,17s,24797 ,Business Data Warehousing ,,Open,Judd Bradbury,Tues & Thurs : 1:00pm-2:15pm : SOM_11.202,0,56, ,1,-,,,mgt,mgmt,lec,1,jdb101000,3, , 
acct6309.003.17s,acct,6309 ,003 ,17s,27927 ,Business Data Warehousing ,,Open,Kashif Saeed,Fri : 10:00am-12:45pm : SOM_1.117,1,64, ,1,-,,,mgt,mgmt,lec,1,kxs147230,1, ,syl
acct6312.501.17s,acct,6312 ,501 ,17s,25243 ,Cybersecurity Fundamentals ,,Open,Atanu Lahiri,Thurs : 7:00pm-9:45pm : SOM_2.714,2,61, ,1,-,,,mgt,mgmt,lec,1,axl144730,1,"9780071742382,9780071781749 ", 
acct6320.001.17s,acct,6320 ,001 ,17s,24773 ,Database Foundations ,,Open,Nassim Sohaee,Tues & Thurs : 2:30pm-3:45pm : SOM_11.202,2,54, ,1,-,,,mgt,mgmt,lec,1,nxs045000,1,"9780133970777,9780133971224 ",syl
acct6320.502.17s,acct,6320 ,502 ,17s,25128 ,Database Foundations ,,Open,Ravishankar Narayan,Fri : 7:00pm-9:45pm : SOM_2.717,1,64, ,1,-,,,mgt,mgmt,lec,1,rln130030,1, ,syl
acct6320.501.17s,acct,6320 ,501 ,17s,27015 ,Database Foundations ,,Open,Kutsal Dogan,Tues & Thurs : 5:30pm-6:45pm : SOM_2.106,1,64, ,1,-,,,mgt,mgmt,lec,1,kxd025000,1, ,syl
acct6320.0w1.17s,acct,6320 ,0w1 ,17s,27925 ,Database Foundations ,,Open,Huseyin Cavusoglu,-schedule is not posted or not applicable-,8,42, ,1,do_eval,,,mgt,mgmt,lec,1,huseyin,1, , 
acct6330.002.17s,acct,6330 ,002 ,17s,24348 ,Intermediate Financial Accounting I ,,Closed,Yibin Zhou,Tues & Thurs : 2:30pm-3:45pm : SOM_2.901,45,0, ,1,do_eval,,,mgt,mgmt,lec,1,yxz066000,2,"9781119231561,9781119309260,9781119170808 ",syl
acct6330.003.17s,acct,6330 ,003 ,17s,26914 ,Intermediate Financial Accounting I ,,Open,Yibin Zhou,Tues & Thurs : 4:00pm-5:15pm : SOM_2.901,17,28, ,1,do_eval,,,mgt,mgmt,lec,1,yxz066000,0,"9781119231561,9781119309260,9781119170808 ",syl
acct6331.0w1.17s,acct,6331 ,0w1 ,17s,25034 ,Cost Accounting ,,Open,William Cready,-schedule is not posted or not applicable-,24,26, ,1,do_eval,,,mgt,mgmt,lec,1,wmc041000,1, ,syl
acct6331.501.17s,acct,6331 ,501 ,17s,27140 ,Cost Accounting ,,Open,Surya Janakiraman,Mon : 7:00pm-9:45pm : SOM_1.217,37,43, ,1,do_eval,,,mgt,mgmt,lec,1,suryaj,2,9780133428704 ,syl
acct6332.0w1.17s,acct,6332 ,0w1 ,17s,26915 ,Intermediate Financial Accounting II ,,Open,Tiffany Bortz,-schedule is not posted or not applicable-,16,34, ,1,do_eval,,,mgt,mgmt,lec,1,tabortz,1,"9781119231561,9781119309260,9781119170808 ",syl
acct6332.002.17s,acct,6332 ,002 ,17s,24467 ,Intermediate Financial Accounting II ,,Open,Jieying Zhang,Mon & Wed : 11:30am-12:45pm : SOM_2.802,40,8, ,1,do_eval,,,mgt,mgmt,lec,1,jxz146230,1,"9781119231561,9781119309260,9781119170808 ",syl
acct6332.001.17s,acct,6332 ,001 ,17s,24349 ,Intermediate Financial Accounting II ,,Closed,Jieying Zhang,Mon & Wed : 10:00am-11:15am : SOM_1.102,65,0, ,1,do_eval,,,mgt,mgmt,lec,1,jxz146230,1,"9781119231561,9781119309260,9781119170808 ",syl
acct6332.003.17s,acct,6332 ,003 ,17s,24350 ,Intermediate Financial Accounting II ,,Open,Jieying Zhang,Mon : 4:00pm-6:45pm : SOM_2.722,34,45, ,1,do_eval,,,mgt,mgmt,lec,1,jxz146230,1,"9781119231561,9781119309260,9781119170808 ",syl
acct6333.501.17s,acct,6333 ,501 ,17s,24351 ,Advanced Financial Reporting ,,Open,Kathy Zolton,Mon : 7:00pm-9:45pm : SOM_12.202,59,1, ,1,do_eval,,,mgt,mgmt,lec,1,kxz121730,1,9781618531902 ,syl
acct6333.001.17s,acct,6333 ,001 ,17s,25035 ,Advanced Financial Reporting ,,Open,Kathy Zolton,Mon & Wed : 1:00pm-2:15pm : SOM_12.202,58,2, ,1,do_eval,,,mgt,mgmt,lec,1,kxz121730,1,9781618531902 ,syl
acct6334.002.17s,acct,6334 ,002 ,17s,24942 ,Auditing ,,Open,Lale Guler,Mon & Wed : 4:00pm-5:15pm : SOM_2.102,22,23, ,1,do_eval,,,mgt,mgmt,lec,1,lxg152230,0,"9781259197109,9780077862343,9780077632281 ",syl
acct6334.501.17s,acct,6334 ,501 ,17s,24352 ,Auditing ,,Open,Lale Guler,Mon : 7:00pm-9:45pm : SOM_2.106,37,39, ,1,do_eval,,,mgt,mgmt,lec,1,lxg152230,0,"9781259197109,9780077862343,9780077632281 ",syl
acct6334.001.17s,acct,6334 ,001 ,17s,24659 ,Auditing ,,Open,Lale Guler,Mon & Wed : 2:30pm-3:45pm : SOM_2.102,34,11, ,1,do_eval,,,mgt,mgmt,lec,1,lxg152230,0,"9781259197109,9780077862343,9780077632281 ",syl
acct6335.0w1.17s,acct,6335 ,0w1 ,17s,24333 ,Ethics for Professional Accountants ,,Open,Amy Troutman,-schedule is not posted or not applicable-,48,2, ,8w1,do_eval,,,mgt,mgmt,lec,8w1,amybass,0,"9781118928332,9781118939048 ",syl
acct6335.001.17s,acct,6335 ,001 ,17s,25037 ,Ethics for Professional Accountants ,,Open,Amy Troutman,Mon & Wed : 11:30am-12:45pm : SOM_1.117,87,3, ,1,do_eval,,,mgt,mgmt,lec,1,amybass,1,"9781118928332,9781118939048 ",syl
acct6335.pp1.17s,acct,6335 ,pp1 ,17s,25038 ,Ethics for Professional Accountants ,,Open,Amy Troutman,Mon & Wed : 1:00pm-3:45pm : SOM_2.115,14,96, ,8w1,do_eval,,,mgt,mgmt,lec,8w1,amybass,0,"9781118928332,9781118939048 ",syl
acct6336.501.17s,acct,6336 ,501 ,17s,24353 ,Information Technology Audit and Risk Management ,,Open,Joseph Mauriello,Thurs : 7:00pm-9:45pm : SOM_1.110,26,53, ,1,do_eval,,,mgt,mgmt,lec,1,jam151430,2,"9781133949886,9781305445154 ",syl
acct6338.001.17s,acct,6338 ,001 ,17s,25039 ,Accounting Systems Integration and Configuration ,,Open,Mary Beth Goodrich,Thurs : 4:00pm-6:45pm : SOM_12.210,54,9, ,1,do_eval,,,mgt,mgmt,lec,1,goodrich,1,9781592293933 ,syl
acct6340.001.17s,acct,6340 ,001 ,17s,25129 ,System Analysis and Project Management ,,Open,Dawn Owens,Tues & Thurs : 8:30am-9:45am : SOM_1.102,0,65, ,1,-,,,mgt,mgmt,lec,1,dmo130130,1, ,syl
acct6340.002.17s,acct,6340 ,002 ,17s,25130 ,System Analysis and Project Management ,,Open,Dawn Owens,Tues & Thurs : 11:30am-12:45pm : SOM_1.110,1,64, ,1,-,,,mgt,mgmt,lec,1,dmo130130,1, ,syl
acct6340.0w1.17s,acct,6340 ,0w1 ,17s,25131 ,System Analysis and Project Management ,,Open,Srinivasan Raghunathan,-schedule is not posted or not applicable-,0,60, ,1,-,,,mgt,mgmt,lec,1,sraghu,1,"9781305117204,9781305465268 ", 
acct6340.501.17s,acct,6340 ,501 ,17s,25132 ,System Analysis and Project Management ,,Open,Naser Islam,Tues & Thurs : 5:30pm-6:45pm : SOM_1.102,0,65, ,1,-,,,mgt,mgmt,lec,1,nxi110630,1, , 
acct6340.003.17s,acct,6340 ,003 ,17s,26935 ,System Analysis and Project Management ,,Open,Prithi Narasimhan,Mon : 4:00pm-6:45pm : SOM_2.717,0,65, ,1,-,,,mgt,mgmt,lec,1,pxn152330,2, ,syl
acct6343.0w1.17s,acct,6343 ,0w1 ,17s,24957 ,Accounting Information Systems ,,Open,Jennifer Johnson,-schedule is not posted or not applicable-,26,24, ,1,do_eval,,,mgt,mgmt,lec,1,jxj091000,1,9780133428537 ,syl
acct6344.0w1.17s,acct,6344 ,0w1 ,17s,24749 ,Financial Statement Analysis ,,Open,Umit Gurun,-schedule is not posted or not applicable-,49,1, ,1,do_eval,,,mgt,mgmt,lec,1,ugg041000,0,9781618531049 ,syl
acct6344.001.17s,acct,6344 ,001 ,17s,24354 ,Financial Statement Analysis ,,Open,Bin Li,Mon & Wed : 2:30pm-3:45pm : SOM_2.802,21,27, ,1,do_eval,,,mgt,mgmt,lec,1,bxl124230,1,9781618531049 ,syl
acct6344.501.17s,acct,6344 ,501 ,17s,25040 ,Financial Statement Analysis ,,Closed,Bin Li,Mon : 7:00pm-9:45pm : SOM_2.904,48,0, ,1,do_eval,,,mgt,mgmt,lec,1,bxl124230,1,9781618531049 ,syl
acct6344.002.17s,acct,6344 ,002 ,17s,27011 ,Financial Statement Analysis ,,Open,Richard Bowen,Thurs : 4:00pm-6:45pm : SOM_12.218,27,33, ,1,do_eval,,,mgt,mgmt,lec,1,rxb073100,1,9781618531049 ,syl
acct6349.0w1.17s,acct,6349 ,0w1 ,17s,24946 ,Information Technology Strategy and Management ,,Open,Sumit Majumdar,-schedule is not posted or not applicable-,2,48, ,1,-,,,mgt,mgmt,lec,1,skm021100,1, ,syl
acct6350.001.17s,acct,6350 ,001 ,17s,24750 ,Fundamentals of Taxation I ,,Open,Nathan Goldman,Wed : 1:00pm-3:45pm : SOM_2.901,28,17, ,1,do_eval,,,mgt,mgmt,lec,1,ncg160030,1,9781337365758 ,syl
acct6350.501.17s,acct,6350 ,501 ,17s,24751 ,Fundamentals of Taxation I ,,Open,Arthur Agulnek,Wed : 7:00pm-9:45pm : SOM_12.202,25,35, ,1,do_eval,,,mgt,mgmt,lec,1,axa022000,1,9781337365758 ,syl
acct6350.002.17s,acct,6350 ,002 ,17s,24915 ,Fundamentals of Taxation I ,,Open,Nathan Goldman,Mon & Wed : 4:00pm-5:15pm : SOM_2.903,42,6, ,1,do_eval,,,mgt,mgmt,lec,1,ncg160030,1,9781337365758 ,syl
acct6353.001.17s,acct,6353 ,001 ,17s,24785 ,Fundamentals of Taxation II ,,Open,Steven Solcher,Tues & Thurs : 11:30am-12:45pm : SOM_1.102,16,54, ,1,do_eval,,,mgt,mgmt,lec,1,sjs107020,2,9781337358972 ,syl
acct6353.501.17s,acct,6353 ,501 ,17s,24916 ,Fundamentals of Taxation II ,,Open,John Gamino,Mon & Wed : 5:30pm-6:45pm : SOM_1.110,66,4, ,1,do_eval,,,mgt,mgmt,lec,1,jpg140630,1,9781337358972 ,syl
acct6353.pp1.17s,acct,6353 ,pp1 ,17s,27058 ,Fundamentals of Taxation II ,,Open,Steven Solcher,Mon & Wed : 10:00am-12:45pm : SOM_2.115,15,95, ,8w1,do_eval,,,mgt,mgmt,lec,8w1,sjs107020,2,9781337358972 ,syl
acct6353.502.17s,acct,6353 ,502 ,17s,26917 ,Fundamentals of Taxation II ,,Open,John Gamino,Tues : 7:00pm-9:45pm : SOM_1.110,63,7, ,1,do_eval,,,mgt,mgmt,lec,1,jpg140630,1,9781337358972 ,syl
acct6365.501.17s,acct,6365 ,501 ,17s,25220 ,Governmental and Not-For-Profit Accounting ,,Open,Samuel Cheng,Wed : 7:00pm-9:45pm : SOM_2.103,29,16, ,1,do_eval,,,mgt,mgmt,lec,1,sxc109021,1,"9781119222873,9781118983270 ",syl
acct6367.501.17s,acct,6367 ,501 ,17s,26918 ,Multijurisdictional Taxation ,,Open,John Gamino,Thurs : 7:00pm-9:45pm : SOM_1.102,48,31, ,1,do_eval,,,mgt,mgmt,lec,1,jpg140630,1,"9781599414416,9781628102598,9781941651537 ",syl
acct6373.001.17s,acct,6373 ,001 ,17s,25041 ,Advanced External Auditing ,,Open,Anindita Roy Bardhan,Tues & Thurs : 10:00am-11:15am : SOM_12.202,42,18, ,1,do_eval,,,mgt,mgmt,lec,1,axb149330,1,"9780471726340,9781118686454,9781337322393,9781337396493 ",syl
acct6373.501.17s,acct,6373 ,501 ,17s,25042 ,Advanced External Auditing ,,Open,Anindita Roy Bardhan,Tues : 7:00pm-9:45pm : SOM_11.210,60,3, ,1,do_eval,,,mgt,mgmt,lec,1,axb149330,1,"9780471726340,9781118686454,9781337322393,9781337396493 ",syl
